,country,year,d_riot,preds_proba,preds
252,Ecuador,2019,1,0.8300216066876464,1
253,Ecuador,2020,1,0.8272366356911276,1
254,Ecuador,2021,1,0.8357012732143048,1
255,Ecuador,2022,1,0.8430107562306097,1
256,Ecuador,2023,1,0.8648777177008153,1
257,Egypt,2017,1,0.9516554935406261,1
258,Egypt,2018,1,0.9283594174841251,1
259,Egypt,2019,1,0.8932877099390385,1
260,Egypt,2020,1,0.8673715070786009,1
261,Egypt,2021,1,0.8759829606372487,1
262,Egypt,2022,1,0.8812766287779159,1
263,Egypt,2023,0,0.8744042462160786,1
264,El Salvador,2018,1,0.6646429586283329,1
265,El Salvador,2019,1,0.7188332704754526,1
266,El Salvador,2020,1,0.7511896027453234,1
267,El Salvador,2021,1,0.738348868356871,1
268,El Salvador,2022,0,0.7620952309669183,1
269,El Salvador,2023,0,0.5750670582391479,1
270,Equatorial Guinea,2017,0,0.051002320418883106,0
271,Equatorial Guinea,2018,0,0.0666395634114675,0
272,Equatorial Guinea,2019,0,0.07462280257833699,0
273,Equatorial Guinea,2020,0,0.13208659912692547,0
274,Equatorial Guinea,2021,0,0.12473079142352532,0
275,Equatorial Guinea,2022,0,0.13684308751771218,0
276,Equatorial Guinea,2023,0,0.22876207705985208,0
277,Eritrea,2017,0,0.08482241932251339,0
278,Eritrea,2018,0,0.11713259383438271,0
279,Eritrea,2019,0,0.14155104661120269,0
280,Eritrea,2020,0,0.17532004488747627,0
281,Eritrea,2021,0,0.1775436429150445,0
282,Eritrea,2022,0,0.17556368918976073,0
283,Eritrea,2023,0,0.18632368686482254,0
284,Estonia,2020,0,0.3448602057040482,0
285,Estonia,2021,0,0.32623056221044083,0
286,Estonia,2022,0,0.31996362699653236,0
287,Estonia,2023,0,0.3233363216452062,0
288,Ethiopia,2017,1,0.6586664482565328,1
289,Ethiopia,2018,1,0.6783064621469839,1
290,Ethiopia,2019,1,0.7344448703973689,1
291,Ethiopia,2020,1,0.7429011922921568,1
292,Ethiopia,2021,1,0.7556678413433852,1
293,Ethiopia,2022,1,0.7497457410877053,1
294,Ethiopia,2023,1,0.7450719610843568,1
295,Fiji,2021,0,0.3978503469962493,0
296,Fiji,2022,0,0.428698056432043,0
297,Fiji,2023,0,0.4240868347356731,0
298,Finland,2020,1,0.5287099400696742,1
299,Finland,2021,0,0.7221895691310215,1
300,Finland,2022,0,0.4191802375234067,0
301,Finland,2023,0,0.4210287424630159,0
302,France,2020,1,0.7016648528123813,1
303,France,2021,1,0.7663163204491731,1
304,France,2022,1,0.7647200437374154,1
305,France,2023,1,0.7646788309571226,1
306,Gabon,2017,0,0.7703902474294901,1
307,Gabon,2018,1,0.5240820524307849,1
308,Gabon,2019,1,0.7553189440404671,1
309,Gabon,2020,1,0.7252322535912342,1
310,Gabon,2021,1,0.7176508405979956,1
311,Gabon,2022,1,0.7369809065855628,1
312,Gabon,2023,1,0.7642935884654923,1
313,Gambia,2017,1,0.46839254742728686,0
314,Gambia,2018,0,0.6155150939587863,1
315,Gambia,2019,0,0.4153254880024299,0
316,Gambia,2020,1,0.4327244359246449,0
317,Gambia,2021,1,0.6573254600869558,1
318,Gambia,2022,0,0.5992962936781743,1
319,Gambia,2023,0,0.3627693827293994,0
320,Georgia,2018,1,0.35073277791655366,0
321,Georgia,2019,1,0.5680096575871301,1
322,Georgia,2020,1,0.6116266385833928,1
323,Georgia,2021,1,0.5753961642480981,1
324,Georgia,2022,1,0.5760212612721308,1
325,Georgia,2023,1,0.5618417041806951,1
326,Germany,2020,1,0.7363549038220897,1
327,Germany,2021,1,0.7193136444965631,1
328,Germany,2022,1,0.7158352557215552,1
329,Germany,2023,1,0.7093649092522801,1
330,Ghana,2017,1,0.8726120489479277,1
331,Ghana,2018,1,0.8687958587528422,1
332,Ghana,2019,1,0.8322837223393382,1
333,Ghana,2020,1,0.8627210292028358,1
334,Ghana,2021,1,0.8566913007968608,1
335,Ghana,2022,1,0.8664428839237417,1
336,Ghana,2023,1,0.8366401983026964,1
337,Greece,2018,1,0.6219727436740523,1
338,Greece,2019,1,0.7607694241087286,1
339,Greece,2020,1,0.7269989829161704,1
340,Greece,2021,1,0.72886279400755,1
341,Greece,2022,1,0.7343928408144746,1
342,Greece,2023,1,0.7335513888795469,1
343,Guatemala,2018,1,0.7685111447243527,1
344,Guatemala,2019,1,0.8303140110653354,1
345,Guatemala,2020,1,0.8217790949245276,1
346,Guatemala,2021,1,0.8115819421967692,1
347,Guatemala,2022,1,0.8198365392296132,1
348,Guatemala,2023,1,0.8392252748017668,1
349,Guinea,2017,1,0.8571241237624159,1
350,Guinea,2018,1,0.8575600728117668,1
351,Guinea,2019,1,0.801144859009907,1
352,Guinea,2020,1,0.7507478498528188,1
353,Guinea,2021,1,0.7291374486876493,1
354,Guinea,2022,1,0.7240858774433643,1
355,Guinea,2023,1,0.7098911446910375,1
