,country,year,d_ns,preds_proba,preds
275,Hungary,2019,0,0.004394831459297837,0
276,Hungary,2020,0,0.00582309979045475,0
277,Hungary,2021,0,0.006222590701341846,0
278,Hungary,2022,0,0.005259815030680081,0
279,Hungary,2023,0,0.008774872792467327,0
280,Czechia,2017,0,0.0007576651341756278,0
281,Czechia,2018,0,5.855604012320869e-05,0
282,Czechia,2019,0,5.855604012320869e-05,0
283,Czechia,2020,0,0.0008741833165176975,0
284,Czechia,2021,0,5.855604012320869e-05,0
285,Czechia,2022,0,0.01367935945183826,0
286,Czechia,2023,0,0.025738231470957378,0
287,Slovakia,2017,0,0.0019889214062944077,0
288,Slovakia,2018,0,0.002552206166069076,0
289,Slovakia,2019,0,0.0030027431377917463,0
290,Slovakia,2020,0,0.005270963754050706,0
291,Slovakia,2021,0,0.0014256366465197382,0
292,Slovakia,2022,0,0.004424037872122336,0
293,Slovakia,2023,0,0.0048578882635492825,0
294,Italy,2017,0,0.0012506254599364876,0
295,Italy,2018,0,0.003362943309091498,0
296,Italy,2019,0,0.003362943309091498,0
297,Italy,2020,0,0.002658837359373161,0
298,Italy,2021,0,0.001813910219711157,0
299,Italy,2022,0,0.0035050884091331995,0
300,Italy,2023,0,0.009662344539238216,0
301,Malta,2017,0,0.003907830373465381,0
302,Malta,2018,0,0.011697705366674412,0
303,Malta,2019,0,0.015339303784544213,0
304,Malta,2020,0,0.007596623239651353,0
305,Malta,2021,0,0.007948961103788087,0
306,Malta,2022,0,0.01166735228928354,0
307,Malta,2023,0,0.010631740358006226,0
308,Albania,2017,0,0.0023174819419647633,0
309,Albania,2018,0,0.004050735246325791,0
310,Albania,2019,0,0.016484885831749008,0
311,Albania,2020,0,0.004432611687633003,0
312,Albania,2021,0,0.008372223488123703,0
313,Albania,2022,0,0.014247906714485864,0
314,Albania,2023,0,0.011577543911891143,0
315,Serbia,2017,0,0.002679327767913234,0
316,Serbia,2018,0,0.004864384322191038,0
317,Serbia,2019,0,0.00716434966378468,0
318,Serbia,2020,0,0.006224168728390116,0
319,Serbia,2021,0,0.010463731862083847,0
320,Serbia,2022,0,0.012394617475157462,0
321,Serbia,2023,0,0.01698086078951176,0
322,Montenegro,2017,0,0.003538829749463148,0
323,Montenegro,2018,0,0.003645083234789369,0
324,Montenegro,2019,0,0.0023448963980514277,0
325,Montenegro,2020,0,0.0043219513685446714,0
326,Montenegro,2021,0,0.004660949200559701,0
327,Montenegro,2022,0,0.004381305562938733,0
328,Montenegro,2023,0,0.00645779455898468,0
329,North Macedonia,2017,0,0.006401029098943212,0
330,North Macedonia,2018,0,0.008541958548069132,0
331,North Macedonia,2019,0,5.855604012320869e-05,0
332,North Macedonia,2020,0,0.0004508339206748439,0
333,North Macedonia,2021,0,0.0004508339206748439,0
334,North Macedonia,2022,0,0.000550706648396618,0
335,North Macedonia,2023,0,0.003558288178765103,0
336,Croatia,2017,0,0.0013317558532239598,0
337,Croatia,2018,0,0.003678775685618415,0
338,Croatia,2019,0,0.0031154909258437457,0
339,Croatia,2020,0,0.0038962762926569453,0
340,Croatia,2021,0,0.00474120343231895,0
341,Croatia,2022,0,0.003520753119473833,0
342,Croatia,2023,0,0.005629047506059025,0
343,Bosnia-Herzegovina,2017,0,0.016112035638746577,0
344,Bosnia-Herzegovina,2018,0,0.018961915087036884,0
345,Bosnia-Herzegovina,2019,0,0.018030148040857723,0
346,Bosnia-Herzegovina,2020,0,0.015744967069115268,0
347,Bosnia-Herzegovina,2021,0,0.020366554835416096,0
348,Bosnia-Herzegovina,2022,0,0.03503030533861147,0
349,Bosnia-Herzegovina,2023,0,0.03330070714167439,0
350,Slovenia,2017,0,0.0010912447663767692,0
351,Slovenia,2018,0,0.0022178142859261077,0
352,Slovenia,2019,0,0.0029974899557646214,0
353,Slovenia,2020,0,0.01947515633889736,0
354,Slovenia,2021,0,0.017785642694937345,0
355,Slovenia,2022,0,0.005081173115980962,0
356,Slovenia,2023,0,0.008047806184127555,0
357,Greece,2017,0,0.004673919620958345,0
358,Greece,2018,0,0.001438518244500304,0
359,Greece,2019,0,0.03130439487510975,0
360,Greece,2020,0,0.030515298936509033,0
361,Greece,2021,0,0.007037390037307262,0
362,Greece,2022,0,0.052958888232042256,0
363,Greece,2023,0,0.049678280195427964,0
364,Cyprus,2017,0,0.001903565043745381,0
365,Cyprus,2018,0,0.005495860617359942,0
366,Cyprus,2019,0,0.0030851139639788364,0
367,Cyprus,2020,0,0.002052425237725276,0
368,Cyprus,2021,0,0.002052425237725276,0
369,Cyprus,2022,0,0.002427948410908389,0
370,Cyprus,2023,0,0.004981556929280604,0
371,Bulgaria,2017,0,0.001921343059543348,0
372,Bulgaria,2018,0,0.0020851369084309204,0
373,Bulgaria,2019,0,0.02710789012238856,0
374,Bulgaria,2020,0,0.026670946938605798,0
375,Bulgaria,2021,0,0.001724598936779179,0
376,Bulgaria,2022,0,0.040626025590466706,0
377,Bulgaria,2023,0,0.04427878880505365,0
378,Moldova,2017,0,0.04393668729169917,0
379,Moldova,2018,0,0.06271412463712589,0
380,Moldova,2019,0,0.06650194349965283,0
381,Moldova,2020,0,0.05346911011293474,0
382,Moldova,2021,0,0.03862159324192,0
383,Moldova,2022,0,0.10720602969108872,0
384,Moldova,2023,0,0.11894787103035023,0
385,Romania,2017,0,0.003966976922039608,0
386,Romania,2018,0,0.0021507182826856434,0
387,Romania,2019,0,0.0010963926116122511,0
388,Romania,2020,0,0.00022250624404672722,0
389,Romania,2021,0,0.0011101772800718706,0
390,Romania,2022,0,0.0015845727367502977,0
391,Romania,2023,0,0.008358374789041825,0
392,Russia (Soviet Union),2017,0,0.02033379449141955,0
393,Russia (Soviet Union),2018,0,0.031889635751163756,0
394,Russia (Soviet Union),2019,0,0.03375214817312402,0
395,Russia (Soviet Union),2020,0,0.04365878837082819,0
396,Russia (Soviet Union),2021,0,0.055835230920422155,0
397,Russia (Soviet Union),2022,0,0.08012830264709633,0
398,Russia (Soviet Union),2023,0,0.3109958496367971,0
399,Estonia,2017,0,0.0010572833173409504,0
400,Estonia,2018,0,0.002031496379572438,0
401,Estonia,2019,0,5.855604012320869e-05,0
402,Estonia,2020,0,5.855604012320869e-05,0
403,Estonia,2021,0,5.855604012320869e-05,0
404,Estonia,2022,0,0.0003401984200105434,0
405,Estonia,2023,0,0.0034945930747486914,0
406,Latvia,2017,0,0.0016927259199161324,0
407,Latvia,2018,0,0.004233667444823585,0
408,Latvia,2019,0,0.002040188118812987,0
409,Latvia,2020,0,0.002981488577590708,0
410,Latvia,2021,0,0.005227808774998756,0
411,Latvia,2022,0,0.015251182369344257,0
412,Latvia,2023,0,0.018554385671438606,0
413,Lithuania,2017,0,0.0003929479202661776,0
414,Lithuania,2018,0,0.0003929479202661776,0
415,Lithuania,2019,0,0.0006745903001535122,0
416,Lithuania,2020,0,0.0008623518867450686,0
417,Lithuania,2021,0,0.013026850123257161,0
418,Lithuania,2022,0,0.013376404670283372,0
419,Lithuania,2023,0,0.014886219823790094,0
420,Ukraine,2017,0,0.21870206460667008,0
421,Ukraine,2018,0,0.1566190688068499,0
422,Ukraine,2019,0,0.10867818607249892,0
423,Ukraine,2020,0,0.06056254643654762,0
424,Ukraine,2021,0,0.073759747344612,0
425,Ukraine,2022,0,0.15567804056255918,0
426,Ukraine,2023,0,0.25140376282201604,0
427,Belarus,2017,0,0.008616139755642313,0
428,Belarus,2018,0,0.008013710552533203,0
429,Belarus,2019,0,0.010096054779345644,0
430,Belarus,2020,0,0.06609147057774112,0
431,Belarus,2021,0,0.047920520341473254,0
432,Belarus,2022,0,0.07076943448128563,0
433,Belarus,2023,0,0.07176390464279875,0
434,Armenia,2017,0,0.018349869491081847,0
435,Armenia,2018,0,0.013355266282173438,0
436,Armenia,2019,0,0.030108635889367727,0
437,Armenia,2020,0,0.04462308268522816,0
438,Armenia,2021,0,0.05088441438885143,0
439,Armenia,2022,0,0.052389355774547446,0
440,Armenia,2023,0,0.043116833708641084,0
441,Georgia,2017,0,0.05983938681947728,0
442,Georgia,2018,0,0.04799651160611611,0
443,Georgia,2019,0,0.055944807102051464,0
444,Georgia,2020,0,0.04585722100228269,0
445,Georgia,2021,0,0.04927244974141218,0
446,Georgia,2022,0,0.048542943184370614,0
447,Georgia,2023,0,0.04278385229108711,0
448,Azerbaijan,2017,0,0.009973457583833318,0
449,Azerbaijan,2018,0,0.00890204612017011,0
450,Azerbaijan,2019,0,0.011909600019781166,0
451,Azerbaijan,2020,0,0.02698021842805047,0
452,Azerbaijan,2021,0,0.043276244852545956,0
453,Azerbaijan,2022,0,0.058012712528747956,0
454,Azerbaijan,2023,0,0.07086098431971437,0
455,Finland,2017,0,0.0006229714423388328,0
456,Finland,2018,0,0.0006229714423388328,0
457,Finland,2019,0,0.0015068450826765344,0
458,Finland,2020,0,0.002081617781563071,0
459,Finland,2021,0,0.0014484221123831594,0
460,Finland,2022,0,0.0035928202920520436,0
461,Finland,2023,0,0.01341573545484166,0
462,Sweden,2017,0,0.0008271625189723021,0
463,Sweden,2018,0,0.0016741600752281176,0
464,Sweden,2019,0,0.0023361170296528093,0
465,Sweden,2020,0,0.0016768810599885502,0
466,Sweden,2021,0,0.0014891194733969938,0
467,Sweden,2022,0,0.0016988522016127194,0
468,Sweden,2023,0,0.009288977958922386,0
469,Norway,2017,0,0.0009309752574072326,0
470,Norway,2018,0,0.0009309752574072326,0
471,Norway,2019,0,0.0006008404074380346,0
472,Norway,2020,0,0.003032741327463236,0
473,Norway,2021,0,0.003032741327463236,0
474,Norway,2022,0,0.003312384965084203,0
475,Norway,2023,0,0.004866414910130462,0
476,Denmark,2017,0,0.0046938214723697,0
477,Denmark,2018,0,0.004387696534006694,0
478,Denmark,2019,0,0.0018448681898810438,0
