,country,year,d_sb,preds_proba,preds
306,Malta,2022,0,0.16185460364383156,0
307,Malta,2023,0,0.16243045401752712,0
308,Albania,2017,0,0.02370495561069152,0
309,Albania,2018,0,0.020093576399470965,0
310,Albania,2019,0,0.021034440018588157,0
311,Albania,2020,0,0.0416084444706227,0
312,Albania,2021,0,0.04501849048319755,0
313,Albania,2022,0,0.17647635057810335,0
314,Albania,2023,0,0.18392020400671866,0
315,Serbia,2017,0,0.021602221410844807,0
316,Serbia,2018,0,0.03543772485332093,0
317,Serbia,2019,0,0.030874723894759842,0
318,Serbia,2020,0,0.035690500921809296,0
319,Serbia,2021,0,0.044207208839422,0
320,Serbia,2022,0,0.15588826928278926,0
321,Serbia,2023,0,0.07861081927063955,0
322,Montenegro,2017,0,0.015734642838758618,0
323,Montenegro,2018,0,0.02414249015204521,0
324,Montenegro,2019,0,0.03323658193105117,0
325,Montenegro,2020,0,0.03548256471422899,0
326,Montenegro,2021,0,0.028298906523438933,0
327,Montenegro,2022,0,0.027675451896304385,0
328,Montenegro,2023,0,0.033277324631324684,0
329,North Macedonia,2017,0,0.03465432017948066,0
330,North Macedonia,2018,0,0.04776015817872446,0
331,North Macedonia,2019,0,0.03476662798959594,0
332,North Macedonia,2020,0,0.046155774002827527,0
333,North Macedonia,2021,0,0.043147519238096815,0
334,North Macedonia,2022,0,0.04172959869370997,0
335,North Macedonia,2023,0,0.043517183579511884,0
336,Croatia,2017,0,0.008944868077092005,0
337,Croatia,2018,0,0.005846055166959123,0
338,Croatia,2019,0,0.007960281617498077,0
339,Croatia,2020,0,0.019002518826436297,0
340,Croatia,2021,0,0.015910880008980915,0
341,Croatia,2022,0,0.050031083977716787,0
342,Croatia,2023,0,0.0556541265922265,0
343,Bosnia-Herzegovina,2017,0,0.018258327716594896,0
344,Bosnia-Herzegovina,2018,0,0.029979593789141182,0
345,Bosnia-Herzegovina,2019,0,0.024866896066145394,0
346,Bosnia-Herzegovina,2020,0,0.03519397051312623,0
347,Bosnia-Herzegovina,2021,0,0.04274232985922205,0
348,Bosnia-Herzegovina,2022,0,0.2165299805329528,0
349,Bosnia-Herzegovina,2023,0,0.21991539548091582,0
350,Slovenia,2017,0,0.007891661617025685,0
351,Slovenia,2018,0,0.008220160797661512,0
352,Slovenia,2019,0,0.011344508479120762,0
353,Slovenia,2020,0,0.02126080481941066,0
354,Slovenia,2021,0,0.02214652642913517,0
355,Slovenia,2022,0,0.016524563588722837,0
356,Slovenia,2023,0,0.028781268338548407,0
357,Greece,2017,0,0.04470347871300813,0
358,Greece,2018,0,0.04500512952166115,0
359,Greece,2019,0,0.04707223669108955,0
360,Greece,2020,0,0.03859631868244278,0
361,Greece,2021,0,0.045945080046776096,0
362,Greece,2022,0,0.05491079549949186,0
363,Greece,2023,0,0.049403674118532796,0
364,Cyprus,2017,0,0.004480321033012119,0
365,Cyprus,2018,0,0.009155327468551,0
366,Cyprus,2019,0,0.01367150940539695,0
367,Cyprus,2020,0,0.015061654693221196,0
368,Cyprus,2021,0,0.011750716848712525,0
369,Cyprus,2022,0,0.022129891660923152,0
370,Cyprus,2023,0,0.019345130591133082,0
371,Bulgaria,2017,0,0.008204019313124035,0
372,Bulgaria,2018,0,0.01445554342761586,0
373,Bulgaria,2019,0,0.019003632256172402,0
374,Bulgaria,2020,0,0.016203202049877168,0
375,Bulgaria,2021,0,0.016982432777878788,0
376,Bulgaria,2022,0,0.044265001614793485,0
377,Bulgaria,2023,0,0.046761016659581295,0
378,Moldova,2017,0,0.04931870577876365,0
379,Moldova,2018,0,0.05775789172264698,0
380,Moldova,2019,0,0.059724670782785275,0
381,Moldova,2020,0,0.07309299071714531,0
382,Moldova,2021,0,0.06531670477167453,0
383,Moldova,2022,0,0.06830595057309893,0
384,Moldova,2023,0,0.08479626811580732,0
385,Romania,2017,0,0.014805778106441047,0
386,Romania,2018,0,0.021809902374175957,0
387,Romania,2019,0,0.022653479204656973,0
388,Romania,2020,0,0.04170928578430182,0
389,Romania,2021,0,0.0359646677849198,0
390,Romania,2022,0,0.05293688743153206,0
391,Romania,2023,0,0.0437960588912397,0
392,Russia (Soviet Union),2017,1,0.8560356677729961,1
393,Russia (Soviet Union),2018,1,0.8235138982885306,1
394,Russia (Soviet Union),2019,1,0.8093544154880321,1
395,Russia (Soviet Union),2020,1,0.8168788074338089,1
396,Russia (Soviet Union),2021,1,0.8360407465759674,1
397,Russia (Soviet Union),2022,1,0.789900779855195,1
398,Russia (Soviet Union),2023,1,0.7619068617702645,1
399,Estonia,2017,0,0.007079186220997511,0
400,Estonia,2018,0,0.007615721331074023,0
401,Estonia,2019,0,0.007698442609615785,0
402,Estonia,2020,0,0.00884961084160411,0
403,Estonia,2021,0,0.01269484983875157,0
404,Estonia,2022,0,0.023226288330679527,0
405,Estonia,2023,0,0.032604437282727494,0
406,Latvia,2017,0,0.003653328293848266,0
407,Latvia,2018,0,0.006240804275327801,0
408,Latvia,2019,0,0.007391392679244395,0
409,Latvia,2020,0,0.007085490722783958,0
410,Latvia,2021,0,0.009993454120465668,0
411,Latvia,2022,0,0.020615818290060206,0
412,Latvia,2023,0,0.07332728422999454,0
413,Lithuania,2017,0,0.005058647860590736,0
414,Lithuania,2018,0,0.0037634357343643986,0
415,Lithuania,2019,0,0.0039813487433735355,0
416,Lithuania,2020,0,0.008468239031698382,0
417,Lithuania,2021,0,0.0088811048067047,0
418,Lithuania,2022,0,0.06451983530498263,0
419,Lithuania,2023,0,0.07124225880170218,0
420,Ukraine,2017,1,0.7461666518407966,1
421,Ukraine,2018,1,0.6785114678461605,1
422,Ukraine,2019,1,0.6762976204070442,1
423,Ukraine,2020,1,0.664941908083558,1
424,Ukraine,2021,1,0.6314268669764425,1
425,Ukraine,2022,1,0.640366520672166,1
426,Ukraine,2023,0,0.6530131112407308,1
427,Belarus,2017,0,0.02642911153876586,0
428,Belarus,2018,0,0.02715818935396534,0
429,Belarus,2019,0,0.028780440967152075,0
430,Belarus,2020,0,0.0957026093557481,0
431,Belarus,2021,0,0.09089454728815945,0
432,Belarus,2022,0,0.21123088013011684,0
433,Belarus,2023,0,0.2119999040011152,0
434,Armenia,2017,0,0.6352793618017923,1
435,Armenia,2018,1,0.367548343672464,0
436,Armenia,2019,1,0.5317089783944992,1
437,Armenia,2020,1,0.5564686681828356,1
438,Armenia,2021,1,0.5732766535460185,1
439,Armenia,2022,1,0.5371687362291829,1
440,Armenia,2023,1,0.5936874108439707,1
441,Georgia,2017,0,0.043281355025229076,0
442,Georgia,2018,0,0.059461613505060976,0
443,Georgia,2019,0,0.05042681018137291,0
444,Georgia,2020,0,0.05334537786572442,0
445,Georgia,2021,0,0.05979145665136073,0
446,Georgia,2022,0,0.06133966612274001,0
447,Georgia,2023,0,0.05648239211305257,0
448,Azerbaijan,2017,1,0.8481506645151604,1
449,Azerbaijan,2018,1,0.8102924635094453,1
450,Azerbaijan,2019,1,0.8285392190978638,1
451,Azerbaijan,2020,1,0.8402026233163341,1
452,Azerbaijan,2021,1,0.7841945485553174,1
453,Azerbaijan,2022,1,0.7208415503930907,1
454,Azerbaijan,2023,1,0.7335279544546099,1
455,Finland,2017,0,0.005547598545515691,0
456,Finland,2018,0,0.007478047282101289,0
457,Finland,2019,0,0.005178522518663213,0
458,Finland,2020,0,0.004959328883563038,0
459,Finland,2021,0,0.005924553251855837,0
460,Finland,2022,0,0.04710866222235674,0
461,Finland,2023,0,0.09296273664811593,0
462,Sweden,2017,0,0.002533656712341154,0
463,Sweden,2018,0,0.003027164213754893,0
464,Sweden,2019,0,0.002533656712341154,0
465,Sweden,2020,0,0.004464105448926752,0
466,Sweden,2021,0,0.005429329817219551,0
467,Sweden,2022,0,0.061088280727402425,0
468,Sweden,2023,0,0.09808425108270788,0
469,Norway,2017,0,0.0064439055099670545,0
470,Norway,2018,0,0.007409129878259854,0
471,Norway,2019,0,0.0064439055099670545,0
472,Norway,2020,0,0.012235251719723849,0
473,Norway,2021,0,0.015130924824602246,0
474,Norway,2022,0,0.0859577579897627,0
475,Norway,2023,0,0.08949486281006497,0
476,Denmark,2017,0,0.00530800764674093,0
477,Denmark,2018,0,0.0057911719786518465,0
478,Denmark,2019,0,0.002638594880180387,0
479,Denmark,2020,0,0.0034224241893788844,0
480,Denmark,2021,0,0.0024495912940880665,0
481,Denmark,2022,0,0.020726971327319512,0
482,Denmark,2023,0,0.02462990952487005,0
483,Iceland,2017,0,0.01061416685276598,0
484,Iceland,2018,0,0.01078720554554112,0
485,Iceland,2019,0,0.014841537367281945,0
486,Iceland,2020,0,0.015644020390430877,0
487,Iceland,2021,0,0.007051170172688164,0
488,Iceland,2022,0,0.11760409819830499,0
489,Iceland,2023,0,0.11871968011447293,0
490,Cabo Verde,2017,0,0.023627112534906153,0
491,Cabo Verde,2018,0,0.030486433516165763,0
492,Cabo Verde,2019,0,0.035951149663002266,0
493,Cabo Verde,2020,0,0.04146010340619156,0
494,Cabo Verde,2021,0,0.04393410117520541,0
495,Cabo Verde,2022,0,0.05062437260409291,0
496,Cabo Verde,2023,0,0.06253727818547519,0
497,Guinea-Bissau,2017,0,0.01361529577700057,0
498,Guinea-Bissau,2018,0,0.02560800614883353,0
