,country,year,d_osv,preds_proba,preds
312,Albania,2021,0,0.011599905643381585,0
313,Albania,2022,0,0.058537348966684305,0
314,Albania,2023,0,0.06154614403701637,0
315,Serbia,2017,0,0.0040119620967955915,0
316,Serbia,2018,0,0.010975023474075196,0
317,Serbia,2019,0,0.030717748923606736,0
318,Serbia,2020,0,0.030532501976742864,0
319,Serbia,2021,0,0.03221910523596763,0
320,Serbia,2022,0,0.07027399786559141,0
321,Serbia,2023,0,0.06526123178729412,0
322,Montenegro,2017,0,0.017544635527750804,0
323,Montenegro,2018,0,0.022465515505779035,0
324,Montenegro,2019,0,0.022906747934927557,0
325,Montenegro,2020,0,0.04262283064994775,0
326,Montenegro,2021,0,0.04485702846895101,0
327,Montenegro,2022,0,0.06386496119882326,0
328,Montenegro,2023,0,0.04627183156372795,0
329,North Macedonia,2017,0,0.02831087039697031,0
330,North Macedonia,2018,0,0.05137949165136355,0
331,North Macedonia,2019,0,0.014965549671839072,0
332,North Macedonia,2020,0,0.00968224091237386,0
333,North Macedonia,2021,0,0.01680836617587237,0
334,North Macedonia,2022,0,0.05999293495383195,0
335,North Macedonia,2023,0,0.0693077028186424,0
336,Croatia,2017,0,0.0016322174691187903,0
337,Croatia,2018,0,0.0016322174691187903,0
338,Croatia,2019,0,0.01914997232470421,0
339,Croatia,2020,0,0.009590013933491027,0
340,Croatia,2021,0,0.01327836782426148,0
341,Croatia,2022,0,0.029892589344298986,0
342,Croatia,2023,0,0.03900839670792581,0
343,Bosnia-Herzegovina,2017,0,0.03811317069341761,0
344,Bosnia-Herzegovina,2018,0,0.06602244959714326,0
345,Bosnia-Herzegovina,2019,0,0.07428306302689545,0
346,Bosnia-Herzegovina,2020,0,0.08864049483653426,0
347,Bosnia-Herzegovina,2021,0,0.09016367154210837,0
348,Bosnia-Herzegovina,2022,0,0.12936098945948643,0
349,Bosnia-Herzegovina,2023,0,0.1307236460817249,0
350,Slovenia,2017,0,0.02504917171391599,0
351,Slovenia,2018,0,0.02497924405090918,0
352,Slovenia,2019,0,0.03712335913986546,0
353,Slovenia,2020,0,0.04419787783836697,0
354,Slovenia,2021,0,0.02885379160112424,0
355,Slovenia,2022,0,0.07540052978109596,0
356,Slovenia,2023,0,0.10887227550788893,0
357,Greece,2017,0,0.03175562853665172,0
358,Greece,2018,0,0.025806626289759705,0
359,Greece,2019,0,0.06616081163473429,0
360,Greece,2020,0,0.0818201703552174,0
361,Greece,2021,0,0.10772960831032413,0
362,Greece,2022,0,0.11558166494756722,0
363,Greece,2023,0,0.13302331709682735,0
364,Cyprus,2017,0,0.0013522045453269375,0
365,Cyprus,2018,0,0.0014803502361838846,0
366,Cyprus,2019,0,0.0015941255197948242,0
367,Cyprus,2020,0,0.0018015928219936085,0
368,Cyprus,2021,0,0.06932726504150981,0
369,Cyprus,2022,0,0.06536823765411594,0
370,Cyprus,2023,0,0.06627939985025211,0
371,Bulgaria,2017,0,0.011577479195360785,0
372,Bulgaria,2018,0,0.039103046865128666,0
373,Bulgaria,2019,0,0.06517750417875832,0
374,Bulgaria,2020,0,0.0663932578316708,0
375,Bulgaria,2021,0,0.06086659544545905,0
376,Bulgaria,2022,0,0.07572671934494092,0
377,Bulgaria,2023,0,0.07174603725946589,0
378,Moldova,2017,0,0.040694767802223905,0
379,Moldova,2018,0,0.08110813562137614,0
380,Moldova,2019,0,0.08644421139083847,0
381,Moldova,2020,0,0.06121007347541871,0
382,Moldova,2021,0,0.07270130418202797,0
383,Moldova,2022,0,0.18233324605638662,0
384,Moldova,2023,0,0.13880368940124216,0
385,Romania,2017,0,0.006203410861520694,0
386,Romania,2018,0,0.013057702230018276,0
387,Romania,2019,0,0.022971091778218846,0
388,Romania,2020,0,0.01943966775787348,0
389,Romania,2021,0,0.011099181106058528,0
390,Romania,2022,0,0.03115015224262402,0
391,Romania,2023,0,0.03839971581954417,0
392,Russia (Soviet Union),2017,0,0.8243447006361541,1
393,Russia (Soviet Union),2018,1,0.6640235137979037,1
394,Russia (Soviet Union),2019,0,0.7466036385140936,1
395,Russia (Soviet Union),2020,1,0.7008796226809957,1
396,Russia (Soviet Union),2021,0,0.7703608896633699,1
397,Russia (Soviet Union),2022,0,0.6441027782282864,1
398,Russia (Soviet Union),2023,0,0.6237229667699039,1
399,Estonia,2017,0,0.001142322694387615,0
400,Estonia,2018,0,0.008889653801271491,0
401,Estonia,2019,0,0.007331688279785845,0
402,Estonia,2020,0,0.016166201901517494,0
403,Estonia,2021,0,0.013392589664341058,0
404,Estonia,2022,0,0.05165770600577269,0
405,Estonia,2023,0,0.018477365038481,0
406,Latvia,2017,0,0.014821792890558011,0
407,Latvia,2018,0,0.03518250914815533,0
408,Latvia,2019,0,0.03192999125949818,0
409,Latvia,2020,0,0.050040223143787164,0
410,Latvia,2021,0,0.03256249818138476,0
411,Latvia,2022,0,0.031297112899508275,0
412,Latvia,2023,0,0.018155260587139087,0
413,Lithuania,2017,0,0.007983381358910122,0
414,Lithuania,2018,0,0.016034232751947118,0
415,Lithuania,2019,0,0.010765188914834403,0
416,Lithuania,2020,0,0.016144333244892294,0
417,Lithuania,2021,0,0.00814326264298968,0
418,Lithuania,2022,0,0.02731676561482832,0
419,Lithuania,2023,0,0.021721605971756937,0
420,Ukraine,2017,0,0.06954892097315983,0
421,Ukraine,2018,0,0.10620118295607796,0
422,Ukraine,2019,0,0.2162107385559546,0
423,Ukraine,2020,0,0.23792900688777943,0
424,Ukraine,2021,0,0.23283411007776547,0
425,Ukraine,2022,1,0.10646851443764568,0
426,Ukraine,2023,1,0.38851006853816294,0
427,Belarus,2017,0,0.023455674153031063,0
428,Belarus,2018,0,0.023732251130420788,0
429,Belarus,2019,0,0.023451069206564416,0
430,Belarus,2020,0,0.2053373389687931,0
431,Belarus,2021,0,0.17048292474979213,0
432,Belarus,2022,0,0.1978242937403913,0
433,Belarus,2023,0,0.17856217853021777,0
434,Armenia,2017,0,0.17066082379493647,0
435,Armenia,2018,0,0.14784985719965676,0
436,Armenia,2019,0,0.12854731516428025,0
437,Armenia,2020,0,0.18019413954560873,0
438,Armenia,2021,0,0.18694254016734446,0
439,Armenia,2022,0,0.1384371310172258,0
440,Armenia,2023,0,0.1460957464342171,0
441,Georgia,2017,0,0.028070033942141477,0
442,Georgia,2018,0,0.04210540514675434,0
443,Georgia,2019,0,0.04157296024975145,0
444,Georgia,2020,0,0.04125655790780424,0
445,Georgia,2021,0,0.058073104937948566,0
446,Georgia,2022,0,0.07370970815343227,0
447,Georgia,2023,1,0.05277381521607945,0
448,Azerbaijan,2017,0,0.04968156392797901,0
449,Azerbaijan,2018,0,0.08099154356808708,0
450,Azerbaijan,2019,0,0.10609607024256518,0
451,Azerbaijan,2020,0,0.08735123678604079,0
452,Azerbaijan,2021,0,0.08812678703796611,0
453,Azerbaijan,2022,0,0.14001758104431913,0
454,Azerbaijan,2023,0,0.14640682386796114,0
455,Finland,2017,0,0.006260353854224221,0
456,Finland,2018,0,0.006277774240212981,0
457,Finland,2019,0,0.006773969987949627,0
458,Finland,2020,0,0.005321157306591591,0
459,Finland,2021,0,0.007082563572091004,0
460,Finland,2022,0,0.012673568877973183,0
461,Finland,2023,0,0.022783162852929834,0
462,Sweden,2017,1,0.02381701276213749,0
463,Sweden,2018,0,0.18843500883772027,0
464,Sweden,2019,0,0.09362790623423313,0
465,Sweden,2020,0,0.07637447009776525,0
466,Sweden,2021,0,0.062165962771036073,0
467,Sweden,2022,0,0.04750539436940381,0
