,country,year,d_civil_war,preds_proba,preds
570,Burkina Faso,2020,0,0.08315139285548984,0
571,Burkina Faso,2021,0,0.0839927727901736,0
572,Burkina Faso,2022,1,0.1302781932879286,0
573,Burkina Faso,2023,1,0.4110848874013934,0
574,Liberia,2017,0,0.009555929341462648,0
575,Liberia,2018,0,0.00929487067669226,0
576,Liberia,2019,0,0.01188201012195253,0
577,Liberia,2020,0,0.01188201012195253,0
578,Liberia,2021,0,0.01188201012195253,0
579,Liberia,2022,0,0.019323544072036618,0
580,Liberia,2023,0,0.07172833152599536,0
581,Sierra Leone,2017,0,0.01866387519556867,0
582,Sierra Leone,2018,0,0.01794815803234101,0
583,Sierra Leone,2019,0,0.01866387519556867,0
584,Sierra Leone,2020,0,0.01867786784279422,0
585,Sierra Leone,2021,0,0.020683166777707717,0
586,Sierra Leone,2022,0,0.04172046996786931,0
587,Sierra Leone,2023,0,0.07947644009296205,0
588,Ghana,2017,0,0.0007147133354120177,0
589,Ghana,2018,0,0.0005945175825174922,0
590,Ghana,2019,0,0.0005230581491939433,0
591,Ghana,2020,0,0.0005230581491939433,0
592,Ghana,2021,0,0.0005230581491939433,0
593,Ghana,2022,0,0.014738119083701795,0
594,Ghana,2023,0,0.10910528235248132,0
