,country,year,d_protest,preds_proba,preds
275,Equatorial Guinea,2022,0,0.16344983958563306,0
276,Equatorial Guinea,2023,0,0.1851292137193644,0
277,Eritrea,2017,0,0.06932439056569054,0
278,Eritrea,2018,0,0.09316873447062778,0
279,Eritrea,2019,0,0.12414364728365401,0
280,Eritrea,2020,0,0.1498956296150751,0
281,Eritrea,2021,0,0.1394823215625448,0
282,Eritrea,2022,0,0.15665495671576504,0
283,Eritrea,2023,0,0.16881055240143394,0
284,Estonia,2020,1,0.6276503116626317,1
285,Estonia,2021,1,0.6329693410015118,1
286,Estonia,2022,1,0.6234526663665304,1
287,Estonia,2023,1,0.5986733306858721,1
288,Ethiopia,2017,1,0.6795189561756356,1
289,Ethiopia,2018,1,0.6282516420783268,1
290,Ethiopia,2019,1,0.6277946461312001,1
291,Ethiopia,2020,1,0.5816230435800529,1
292,Ethiopia,2021,1,0.6485937574656389,1
293,Ethiopia,2022,1,0.6560530509574678,1
294,Ethiopia,2023,1,0.5974770763501758,1
295,Fiji,2021,0,0.5733730766488805,1
296,Fiji,2022,0,0.5444693589404548,1
297,Fiji,2023,0,0.5325102127269603,1
298,Finland,2020,1,0.5485863420577677,1
299,Finland,2021,1,0.5461409690770278,1
300,Finland,2022,1,0.5451155841375548,1
301,Finland,2023,1,0.5280176798249451,1
302,France,2020,1,0.7118578777954119,1
303,France,2021,1,0.7069416039805778,1
304,France,2022,1,0.7009160754356765,1
305,France,2023,1,0.6827388762848927,1
306,Gabon,2017,0,0.08399005936662055,0
307,Gabon,2018,0,0.13218308669623133,0
308,Gabon,2019,1,0.19995453466455737,0
309,Gabon,2020,0,0.21651951141466624,0
310,Gabon,2021,1,0.2262195117561655,0
311,Gabon,2022,1,0.2311607098934026,0
312,Gabon,2023,1,0.24741373542427392,0
313,Gambia,2017,0,0.12106633992997912,0
314,Gambia,2018,0,0.13410692574872476,0
315,Gambia,2019,0,0.1564273996152587,0
316,Gambia,2020,0,0.15961284902860376,0
317,Gambia,2021,0,0.19307227991637335,0
318,Gambia,2022,0,0.20257551343942332,0
319,Gambia,2023,0,0.20376382625003917,0
320,Georgia,2018,1,0.6752268624649145,1
321,Georgia,2019,1,0.6735453795487409,1
322,Georgia,2020,1,0.6882140469193971,1
323,Georgia,2021,1,0.6695383968862618,1
324,Georgia,2022,1,0.6616087996005531,1
325,Georgia,2023,1,0.6462906453150631,1
326,Germany,2020,1,0.7122263081039991,1
327,Germany,2021,1,0.7069969143960518,1
328,Germany,2022,1,0.7035892510017799,1
329,Germany,2023,1,0.6837643161840511,1
330,Ghana,2017,1,0.6039867195847164,1
331,Ghana,2018,1,0.5827997485802282,1
332,Ghana,2019,1,0.5852419446021575,1
333,Ghana,2020,1,0.6088674840824706,1
334,Ghana,2021,1,0.5611962409136383,1
335,Ghana,2022,1,0.5187446679278848,1
336,Ghana,2023,1,0.4926067819830602,0
337,Greece,2018,1,0.7260594990023796,1
338,Greece,2019,1,0.7253437382622256,1
339,Greece,2020,1,0.699346946000908,1
340,Greece,2021,1,0.7067207263162657,1
341,Greece,2022,1,0.7063471039175426,1
342,Greece,2023,1,0.6764709198791093,1
343,Guatemala,2018,1,0.6056041743937336,1
344,Guatemala,2019,1,0.6206218081815894,1
345,Guatemala,2020,1,0.6440616864885556,1
346,Guatemala,2021,1,0.64890855947086,1
347,Guatemala,2022,1,0.648334655229038,1
348,Guatemala,2023,1,0.6292563989307871,1
349,Guinea,2017,0,0.1506496086776884,0
350,Guinea,2018,1,0.1769306387745186,0
351,Guinea,2019,1,0.2050612303854834,0
352,Guinea,2020,1,0.22208190318110688,0
353,Guinea,2021,1,0.23522684772151586,0
354,Guinea,2022,1,0.24859592356479127,0
355,Guinea,2023,1,0.23234428423645798,0
356,Guinea-Bissau,2017,0,0.08547341863989663,0
357,Guinea-Bissau,2018,0,0.11420530411071465,0
358,Guinea-Bissau,2019,0,0.11604812152032337,0
359,Guinea-Bissau,2020,0,0.165156701775612,0
360,Guinea-Bissau,2021,0,0.14074547534216922,0
361,Guinea-Bissau,2022,0,0.19062724230736994,0
362,Guinea-Bissau,2023,0,0.19832551910232296,0
363,Guyana,2018,1,0.43682395533399365,0
364,Guyana,2019,1,0.47641834903098434,0
365,Guyana,2020,1,0.4781329694215092,0
366,Guyana,2021,1,0.4751655560749391,0
367,Guyana,2022,1,0.4706594156607684,0
368,Guyana,2023,1,0.4694570795340235,0
369,Haiti,2018,1,0.4327973612832521,0
370,Haiti,2019,1,0.42610513850618625,0
371,Haiti,2020,1,0.4367019158445618,0
372,Haiti,2021,1,0.44059463112706576,0
373,Haiti,2022,1,0.4534961218576734,0
374,Haiti,2023,1,0.45283318961387636,0
375,Honduras,2018,1,0.5437120947743536,1
376,Honduras,2019,1,0.580558753070358,1
377,Honduras,2020,1,0.5547559255205204,1
378,Honduras,2021,1,0.5891105967747139,1
379,Honduras,2022,1,0.5569043491160812,1
380,Honduras,2023,1,0.5274062392384553,1
381,Hungary,2020,1,0.6700336544071399,1
382,Hungary,2021,1,0.6742793054900336,1
383,Hungary,2022,1,0.6604206171809506,1
384,Hungary,2023,1,0.6489735561517207,1
385,Iceland,2020,1,0.5395938571853469,1
386,Iceland,2021,1,0.5402826645658508,1
387,Iceland,2022,1,0.5371710114830442,1
388,Iceland,2023,1,0.5198524858768707,1
389,India,2017,1,0.9198122220823721,1
390,India,2018,1,0.90673514686279,1
391,India,2019,1,0.8825115570749441,1
392,India,2020,1,0.875685456339787,1
393,India,2021,1,0.863250986338233,1
394,India,2022,1,0.8540187427035921,1
395,India,2023,1,0.8104192401833431,1
396,Indonesia,2017,1,0.9427859513849797,1
397,Indonesia,2018,1,0.9329617899609958,1
398,Indonesia,2019,1,0.9314570452461375,1
399,Indonesia,2020,1,0.9182004340286678,1
400,Indonesia,2021,1,0.8973705741180511,1
401,Indonesia,2022,1,0.8896755707880089,1
402,Indonesia,2023,1,0.8507183581175333,1
403,Iran,2017,1,0.8797725354348118,1
404,Iran,2018,1,0.8538293417853877,1
405,Iran,2019,1,0.836954756242194,1
406,Iran,2020,1,0.8163715643547744,1
407,Iran,2021,1,0.8088696814518571,1
408,Iran,2022,1,0.7899382078807982,1
409,Iran,2023,1,0.7766251967440362,1
410,Iraq,2017,1,0.7806631109371254,1
411,Iraq,2018,1,0.7376169326072785,1
412,Iraq,2019,1,0.7289642887523616,1
413,Iraq,2020,1,0.7283645448900641,1
414,Iraq,2021,1,0.7315897093170352,1
415,Iraq,2022,1,0.7034299129740902,1
416,Iraq,2023,1,0.6943702424500882,1
417,Ireland,2020,1,0.6304542938132793,1
418,Ireland,2021,1,0.636049762641141,1
419,Ireland,2022,1,0.6262911762488597,1
420,Ireland,2023,1,0.6084654993231199,1
421,Israel,2017,1,0.879688090934464,1
422,Israel,2018,1,0.8590616481687552,1
423,Israel,2019,1,0.8400897351078104,1
424,Israel,2020,1,0.8500254781275521,1
425,Israel,2021,1,0.8502350035581688,1
426,Israel,2022,1,0.8101895869343754,1
427,Israel,2023,1,0.7910371212297362,1
428,Italy,2020,1,0.6900923274110994,1
429,Italy,2021,1,0.6886166115465007,1
430,Italy,2022,1,0.6757493906191938,1
431,Italy,2023,1,0.6658771064391238,1
432,Ivory Coast,2017,0,0.423582883803159,0
433,Ivory Coast,2018,0,0.48689516018115675,0
434,Ivory Coast,2019,1,0.4866504716739469,0
435,Ivory Coast,2020,1,0.5044326136580712,1
